Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2015-01-01,150.53087634376234,151.20901150465662,149.32425641433295,150.0,150.0,170179,AAPL_SYN
2015-01-02,150.087348433929,150.48021451102784,149.353056789066,149.74502681093742,149.74502681093742,206375,AAPL_SYN
2015-01-05,149.5063867145723,152.1937485537773,148.67521873796807,151.35231827844052,151.35231827844052,180097,AAPL_SYN
2015-01-06,151.57202583719487,158.05487526701478,148.68466293717765,155.1003006908506,155.1003006908506,126778,AAPL_SYN
2015-01-07,154.58740315918422,155.27379527600428,153.91668943976788,154.60301382604703,154.60301382604703,81324,AAPL_SYN
2015-01-08,154.9190345274876,157.58698057807797,151.453393444064,154.10736122143666,154.10736122143666,208290,AAPL_SYN
2015-01-09,154.2962694033338,159.27581253451024,153.11271293584406,158.06335994148688,158.06335994148688,190388,AAPL_SYN
2015-01-12,157.91740021798688,161.02801263390907,156.9638344770651,160.0614999973828,160.0614999973828,144304,AAPL_SYN
2015-01-13,159.6588240950549,160.37403390042462,158.246050489936,158.958121418216,158.958121418216,101665,AAPL_SYN
2015-01-14,158.53528601710534,162.347054273974,156.60938963502093,160.39852317259852,160.39852317259852,223387,AAPL_SYN
2015-01-15,160.65587490534946,164.2036077067656,155.7900477456274,159.3080160388029,159.3080160388029,163290,AAPL_SYN
2015-01-16,159.8953753756086,160.26407236309302,157.85433000010627,158.21916186723016,158.21916186723016,217808,AAPL_SYN
2015-01-19,157.916658974471,159.11474085857085,157.7021143110593,158.89886178008413,158.89886178008413,344202,AAPL_SYN
2015-01-20,159.1173731564325,159.20091784226517,154.17488587672545,154.25587803121064,154.25587803121064,84725,AAPL_SYN
2015-01-21,153.29006947552267,153.51215392378774,149.97584099656493,150.19343909126042,150.19343909126042,140353,AAPL_SYN
2015-01-22,149.930021848697,149.99455303576687,148.87611990590568,148.94022507582486,148.94022507582486,166641,AAPL_SYN
2015-01-23,148.92634730246763,150.449627744743,145.153175365525,146.6532051673349,146.6532051673349,298396,AAPL_SYN
